  0.00000E+0000  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.20721E+0004  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.60000E+0004  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.99279E+0004  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.12000E+0005  0.24000E+0006  0.26000E+0004  0.00000E+0000  0.35000E+0004
  0.00000E+0000  0.24207E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.20721E+0004  0.24207E+0006  0.26000E+0004            NaN  0.35003E+0004
  0.60000E+0004  0.24207E+0006  0.26000E+0004            NaN  0.35010E+0004
  0.99279E+0004  0.24207E+0006  0.26000E+0004            NaN  0.35016E+0004
  0.12000E+0005  0.24207E+0006  0.26000E+0004  0.00000E+0000  0.35019E+0004
  0.00000E+0000  0.24600E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.20721E+0004  0.24600E+0006  0.26000E+0004            NaN  0.35010E+0004
  0.60000E+0004  0.24600E+0006  0.26000E+0004  0.00000E+0000  0.35028E+0004
  0.99279E+0004  0.24600E+0006  0.26000E+0004            NaN  0.35046E+0004
  0.12000E+0005  0.24600E+0006  0.26000E+0004  0.00000E+0000  0.35056E+0004
  0.00000E+0000  0.24993E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.20721E+0004  0.24993E+0006  0.26000E+0004            NaN  0.35016E+0004
  0.60000E+0004  0.24993E+0006  0.26000E+0004            NaN  0.35046E+0004
  0.99279E+0004  0.24993E+0006  0.26000E+0004            NaN  0.35076E+0004
  0.12000E+0005  0.24993E+0006  0.26000E+0004  0.00000E+0000  0.35092E+0004
  0.00000E+0000  0.25200E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.20721E+0004  0.25200E+0006  0.26000E+0004  0.00000E+0000  0.35019E+0004
  0.60000E+0004  0.25200E+0006  0.26000E+0004            NaN  0.35056E+0004
  0.99279E+0004  0.25200E+0006  0.26000E+0004  0.00000E+0000  0.35092E+0004
  0.12000E+0005  0.25200E+0006  0.26000E+0004  0.00000E+0000  0.35111E+0004
  0.12000E+0005  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
  0.14072E+0005  0.24000E+0006  0.26000E+0004            NaN  0.35000E+0004
